call,node_depth,var,score,num_candidates,time
331,35,t_x_373,0.3291839228566644,44,16.450951
332,36,t_x_97,0.3290778133744423,43,16.473196
333,37,t_x_318,0.3286139811380062,42,16.508756
334,38,t_x_129,0.3285813450795422,41,16.530855
335,39,t_x_149,0.3281587594035913,40,16.564482
336,40,t_x_140,0.3279708210237213,39,16.586376
337,41,t_x_142,0.3279009411221477,38,16.608329
338,42,t_x_148,0.32773032536471913,37,16.629811
339,43,t_x_172,0.32742867952012167,36,16.651080
340,44,t_x_169,0.32737452520812826,35,16.672269
341,45,t_x_145,0.32726340919038455,34,16.693670
342,46,t_x_10,0.3272199581788964,33,16.715112
343,47,t_x_104,0.3270224657044486,32,16.736291
344,48,t_x_101,0.32643855400786287,31,16.767446
345,49,t_x_366,0.32490447930058935,30,16.799032
346,50,t_x_194,0.3239518020251907,29,16.819416
347,51,t_x_328,0.3235503395467524,28,16.839616
348,33,t_x_144,0.33260950631875075,95,16.874459
349,34,t_x_65,0.3322614622728081,94,16.931925
350,35,t_x_100,0.33060072836282683,93,16.987851
351,36,t_x_177,0.3304125989308909,51,17.028226
352,37,t_x_2,0.3292931030611546,50,17.067633
353,38,t_x_373,0.3291839228566644,49,17.108168
354,39,t_x_97,0.3290778133744423,48,17.131451
355,40,t_x_318,0.3286139811380062,47,17.169679
356,41,t_x_129,0.3285813450795422,46,17.191967
357,42,t_x_149,0.3281587594035913,45,17.226990
358,43,t_x_122,0.3281171678472218,44,17.261450
359,44,t_x_139,0.32800220097911803,43,17.295358
360,45,t_x_142,0.3279009411221477,42,17.318987
361,46,t_x_176,0.32783752541092237,41,17.341195
362,47,t_x_270,0.32783001401543077,40,17.363219
363,48,t_x_148,0.32773032536471913,39,17.396410
364,49,t_x_172,0.32742867952012167,38,17.418090
365,50,t_x_10,0.3272199581788964,37,17.439710
366,51,t_x_104,0.3270224657044486,36,17.472086
367,52,t_x_192,0.3270128963252965,35,17.504410
368,53,t_x_15,0.3268669079888928,34,17.525840
369,54,t_x_132,0.3268587771808999,33,17.547490
370,55,t_x_101,0.32643855400786287,32,17.568162
371,56,t_x_180,0.32508066064641833,31,17.599887
372,57,t_x_194,0.3239518020251907,30,17.620819
373,58,t_x_99,0.3215428667997927,29,17.641929
374,59,t_x_91,0.32105979179969935,28,17.672934
375,39,t_x_14,0.3274421151063002,68,17.727294
376,40,t_x_172,0.32742867952012167,67,17.775903
377,41,t_x_236,0.3274205406343998,66,17.806515
378,42,t_x_145,0.32726340919038455,65,17.833877
379,43,t_x_10,0.3272199581788964,64,17.861292
380,44,t_x_19,0.32721141007081767,63,17.907626
381,36,t_x_177,0.3304125989308909,92,17.945462
382,37,t_x_13,0.32947148876779175,91,18.002395
383,38,t_x_2,0.3292931030611546,90,18.057511
384,39,t_x_373,0.3291839228566644,89,18.111920
385,40,t_x_97,0.3290778133744423,88,18.164726
386,41,t_x_318,0.3286139811380062,44,18.205368
387,42,t_x_149,0.3281587594035913,43,18.228074
388,43,t_x_68,0.32792695399343874,42,18.250528
389,44,t_x_270,0.32783001401543077,41,18.273275
390,45,t_x_145,0.32726340919038455,40,18.295065
391,46,t_x_10,0.3272199581788964,39,18.317395
392,47,t_x_19,0.32721141007081767,38,18.350882
393,48,t_x_104,0.3270224657044486,37,18.372688
394,49,t_x_132,0.3268587771808999,36,18.404817
395,50,t_x_101,0.32643855400786287,35,18.426208
396,51,t_x_8,0.3252872337777598,34,18.458256
397,52,t_x_130,0.3237189430626469,33,18.479651
398,53,t_x_328,0.3235503395467524,32,18.500537
399,54,t_x_99,0.3215428667997927,31,18.521950
400,55,t_x_91,0.32105979179969935,30,18.553419
401,56,t_x_375,0.32083768524015677,29,18.584127
402,57,t_x_95,0.32077476127869986,28,18.605057
403,21,t_x_164,0.33768298287911286,52,18.656395
404,22,t_x_26,0.33710634432496456,51,18.694096
405,23,t_x_159,0.3369646913562073,50,18.732665
406,24,t_x_21,0.33674725056917193,49,18.768258
407,25,t_x_165,0.3325348186944436,48,18.803705
408,26,t_x_65,0.3322614622728081,47,18.825817
409,29,t_x_26,0.33710634432496456,61,18.858208
410,30,t_x_77,0.33679519038950717,60,18.883242
411,31,t_x_86,0.33251677012533615,59,18.907971
412,32,t_x_65,0.3322614622728081,58,18.932245
413,33,t_x_13,0.32947148876779175,57,18.960021
414,34,t_x_201,0.3291212094295495,56,19.002759
415,41,t_x_318,0.3286139811380062,87,19.052575
416,42,t_x_129,0.3285813450795422,86,19.104312
417,43,t_x_442,0.3284343996107425,33,19.146342
418,44,t_x_149,0.3281587594035913,32,19.167919
419,45,t_x_122,0.3281171678472218,31,19.189004
420,46,t_x_142,0.3279009411221477,30,19.220379
421,47,t_x_176,0.32783752541092237,29,19.241048
422,48,t_x_148,0.32773032536471913,28,19.261921
423,26,t_x_68,0.32792695399343874,41,19.301434
424,27,t_x_236,0.3274205406343998,40,19.322801
425,28,t_x_10,0.3272199581788964,39,19.343554
426,29,t_x_19,0.32721141007081767,38,19.365074
427,30,t_x_168,0.3271013922953005,37,19.385679
428,31,t_x_239,0.32682813220844253,36,19.407073
429,43,t_x_442,0.3284343996107425,85,19.448838
430,44,t_x_149,0.3281587594035913,84,19.500243
431,45,t_x_122,0.3281171678472218,83,19.551245
432,46,t_x_142,0.3279009411221477,28,19.590191
433,21,t_x_62,0.32853857799150243,45,19.631537
434,22,t_x_149,0.3281587594035913,44,19.666017
435,23,t_x_45,0.32813523944670725,43,19.689119
436,24,t_x_140,0.3279708210237213,42,19.711999
437,25,t_x_68,0.32792695399343874,41,19.734910
438,26,t_x_400,0.3277550551348225,40,19.756671
439,46,t_x_139,0.32800220097911803,82,19.799868
440,47,t_x_140,0.3279708210237213,81,19.851039
441,48,t_x_68,0.32792695399343874,80,19.901845
442,49,t_x_142,0.3279009411221477,79,19.929554
443,50,t_x_176,0.32783752541092237,78,19.958637
444,51,t_x_270,0.32783001401543077,77,20.009454
445,52,t_x_148,0.32773032536471913,76,20.060934
446,53,t_x_172,0.32742867952012167,75,20.109658
447,54,t_x_169,0.32737452520812826,74,20.158096
448,55,t_x_145,0.32726340919038455,73,20.205913
449,56,t_x_10,0.3272199581788964,72,20.232719
450,57,t_x_19,0.32721141007081767,71,20.282931
451,58,t_x_104,0.3270224657044486,70,20.330068
452,59,t_x_192,0.3270128963252965,37,20.364535
453,60,t_x_101,0.32643855400786287,36,20.386359
454,61,t_x_8,0.3252872337777598,35,20.420306
455,62,t_x_180,0.32508066064641833,34,20.442327
456,63,t_x_366,0.32490447930058935,33,20.474975
457,64,t_x_194,0.3239518020251907,32,20.496725
458,65,t_x_130,0.3237189430626469,31,20.518506
459,66,t_x_328,0.3235503395467524,30,20.550332
460,67,t_x_99,0.3215428667997927,29,20.571307
461,68,t_x_91,0.32105979179969935,28,20.601136
462,35,t_x_420,0.328837001787633,55,20.651385
463,36,t_x_66,0.32837626014866994,54,20.675561
464,37,t_x_149,0.3281587594035913,53,20.699164
465,38,t_x_139,0.32800220097911803,52,20.722605
466,39,t_x_68,0.32792695399343874,51,20.745714
467,40,t_x_169,0.32737452520812826,50,20.769343
468,41,t_x_79,0.3273105193088242,49,20.792428
469,42,t_x_10,0.3272199581788964,48,20.816396
470,43,t_x_15,0.3268669079888928,47,20.852650
471,44,t_x_432,0.32631918216853084,46,20.876551
472,45,t_x_167,0.3242644250523776,45,20.899077
473,46,t_x_194,0.3239518020251907,44,20.921890
474,47,t_x_345,0.32350193897925106,43,20.944456
475,48,t_x_6,0.32156760061632716,42,20.966320
476,27,t_x_156,0.3322492503371881,46,20.997725
477,28,t_x_13,0.32947148876779175,45,21.018624
478,29,t_x_2,0.3292931030611546,44,21.040410
479,30,t_x_66,0.32837626014866994,43,21.061978
480,31,t_x_68,0.32792695399343874,42,21.082919
481,32,t_x_71,0.32765571981761243,41,21.103915
482,27,t_x_14,0.3274421151063002,39,21.134340
483,28,t_x_79,0.3273105193088242,38,21.156481
484,29,t_x_10,0.3272199581788964,37,21.178776
485,30,t_x_339,0.3264010485281532,36,21.200939
486,31,t_x_8,0.3252872337777598,35,21.223181
487,32,t_x_336,0.32462792849298816,34,21.245194
488,8,t_x_88,0.36565753033657356,104,21.280968
489,9,t_x_89,0.3418552133182626,51,21.325926
490,10,t_x_76,0.3397542609479636,50,21.367398
491,11,t_x_83,0.3381592926679389,49,21.408454
492,12,t_x_26,0.33710634432496456,48,21.445998
493,13,t_x_77,0.33679519038950717,30,21.471186
494,14,t_x_21,0.33674725056917193,29,21.502868
495,15,t_x_80,0.33654528594539296,28,21.535122
496,16,t_x_78,0.33629539686852905,27,21.566775
497,17,t_x_20,0.3353069744273539,26,21.597951
498,13,t_x_159,0.3369646913562073,47,21.640448
499,14,t_x_77,0.33679519038950717,46,21.663754
500,15,t_x_21,0.33674725056917193,45,21.698700
501,16,t_x_80,0.33654528594539296,44,21.734623
502,17,t_x_78,0.33629539686852905,43,21.769230
503,18,t_x_20,0.3353069744273539,42,21.802980
504,19,t_x_85,0.3329427103660081,41,21.837989
505,20,t_x_86,0.33251677012533615,40,21.872219
506,21,t_x_75,0.3306908869598732,39,21.896646
507,22,t_x_201,0.3291212094295495,38,21.919276
508,23,t_x_129,0.3285813450795422,37,21.942094
509,24,t_x_367,0.32833040353733933,36,21.964867
510,25,t_x_374,0.32811552122135923,35,21.987371
511,26,t_x_68,0.32792695399343874,34,22.009314
512,27,t_x_172,0.32742867952012167,33,22.031523
513,28,t_x_79,0.3273105193088242,32,22.053083
514,29,t_x_19,0.32721141007081767,31,22.084614
515,30,t_x_15,0.3268669079888928,30,22.116405
516,31,t_x_22,0.32643339157926643,29,22.139438
517,32,t_x_301,0.32545457191610666,28,22.161025
518,33,t_x_14,0.3274421151063002,40,22.202384
519,34,t_x_236,0.3274205406343998,39,22.223392
520,35,t_x_169,0.32737452520812826,38,22.244403
521,36,t_x_10,0.3272199581788964,37,22.265558
522,37,t_x_168,0.3271013922953005,36,22.286466
523,38,t_x_234,0.32669830148764506,35,22.307764
524,39,t_x_8,0.3252872337777598,34,22.328375
525,40,t_x_163,0.32498562062928704,33,22.349340
526,41,t_x_18,0.3246724231025938,32,22.369972
527,42,t_x_16,0.3238783027854283,31,22.389972
528,15,t_x_89,0.3418552133182626,112,22.426331
529,16,t_x_76,0.3397542609479636,35,22.477837
530,17,t_x_365,0.3384154625966223,34,22.510293
531,18,t_x_83,0.3381592926679389,33,22.531571
532,19,t_x_159,0.3369646913562073,32,22.563468
533,20,t_x_77,0.33679519038950717,31,22.585113
534,21,t_x_80,0.33654528594539296,30,22.616874
